,Company,Total Revenue,Total Revenue,Total Revenue,Net Income,Net Income,Net Income,Revenue Growth (%),Net Income Growth (%),Assets Growth (%),Liabilities Growth (%),Cash Flow Growth (%)
,,mean,max,min,mean,max,min,mean,mean,mean,mean,mean
0,Apple,389549.3333333333,394328,383285,96844.66666666667,99803,93736,0.2997420355364507,2.1239268180130924,1.155764161967765,0.7340639909419503,-2.473707950626366
1,Microsoft,218435.66666666666,245122,198270,77745.0,88136,72361,-6.662011340840287,-5.7924920677828915,12.412761878299856,7.398558826134805,11.24154587489265
2,Tesla,91975.0,97690,81462,11571.333333333334,14974,7153,-5.58674846340439,31.1325915508157,14.660356504869759,10.17940945349834,0.8684402405453948
